time,onlineplayers
0,2626
1,4626
2,2608
3,4608
4,2624
5,4624
6,2618
7,4618
8,2615
9,4615
10,2597
11,4597
12,2591
13,4591
14,2591
15,4591
16,2584
17,4584
18,2574
19,4574
20,2565
21,4565
22,2554
23,4554
24,2540
25,4540
26,2544
27,4544
28,2531
29,4531
30,2526
31,4526
32,2515
33,4515
34,2514
35,4514
36,2499
37,4499
38,2496
39,4496
40,2501
41,4501
42,2497
43,4497
44,2495
45,4495
46,2508
47,4508
48,2499
49,4499
50,2497
51,4497
52,2504
53,4504
54,2504
55,4504
56,2504
57,4504
58,2495
59,4495
60,2520
61,4520
62,2512
63,4512
64,2515
65,4515
66,2515
67,4515
68,2506
69,4506
70,2502
71,4502
72,2503
73,4503
74,2506
75,4506
76,2507
77,4507
78,2501
79,4501
80,2510
81,4510
82,2508
83,4508
84,2502
85,4502
86,2510
87,4510
88,2514
89,4514
90,2505
91,4505
92,2505
93,4505
94,2508
95,4508
96,2501
97,4501
98,2502
99,4502
100,2499
101,4499
102,2490
103,4490
104,2490
105,4490
106,2507
107,4507
108,2490
109,4490
110,2482
111,4482
112,2492
113,4492
114,2487
115,4487
116,2491
117,4491
118,2481
119,4481
120,2499
121,4499
122,2494
123,4494
124,2504
125,4504
126,2509
127,4509
128,2501
129,4501
130,2505
131,4505
132,2503
133,4503
134,2519
135,4519
136,2527
137,4527
138,2538
139,4538
140,2531
141,4531
142,2542
143,4542
144,2537
145,4537
146,2544
147,4544
148,2548
149,4548
150,2538
151,4538
152,2535
153,4535
154,2535
155,4535
156,2530
157,4530
158,2525
159,4525
160,2529
161,4529
162,2521
163,4521
164,2521
165,4521
166,2526
167,4526
168,2514
169,4514
170,2521
171,4521
172,2522
173,4522
174,2521
175,4521
176,2522
177,4522
178,2536
179,4536
180,2537
181,4537
182,2537
183,4537
184,2539
185,4539
186,2538
187,4538
188,2543
189,4543
190,2525
191,4525
192,2525
193,4525
194,2522
195,4522
196,2514
197,4514
198,2505
199,4505
200,2507
201,4507
202,2507
203,4507
204,2502
205,4502
206,2494
207,4494
208,2501
209,4501
210,2503
211,4503
212,2506
213,4506
214,2509
215,4509
216,2514
217,4514
218,2514
219,4514
220,2502
221,4502
222,2495
223,4495
224,2505
225,4505
226,2498
227,4498
228,2503
229,4503
230,2498
231,4498
232,2500
233,4500
234,2487
235,4487
236,2490
237,4490
238,2499
239,4499
240,2496
241,4496
242,2507
243,4507
244,2488
245,4488
246,2484
247,4484
248,2485
249,4485
250,2495
251,4495
252,2500
253,4500
254,2489
255,4489
256,2489
257,4489
258,2468
259,4468
260,2468
261,4468
262,2471
263,4471
264,2466
265,4466
266,2447
267,4447
268,2446
269,4446
270,2450
271,4450
272,2459
273,4459
274,2448
275,4448
276,2455
277,4455
278,2456
279,4456
280,2441
281,4441
282,2435
283,4435
284,2418
285,4418
286,2405
287,4405
288,2396
289,4396
290,2389
291,4389
292,2390
293,4390
294,2384
295,4384
296,2384
297,4384
298,2378
299,4378
300,2360
301,4360
302,2352
303,4352
304,2361
305,4361
306,2366
307,4366
308,2366
309,4366
310,2365
311,4365
312,2365
313,4365
314,2372
315,4372
316,2385
317,4385
318,2377
319,4377
320,2370
321,4370
322,2355
323,4355
324,2333
325,4333
326,2332
327,4332
328,2334
329,4334
330,2329
331,4329
332,2326
333,4326
334,2321
335,4321
336,2315
337,4315
338,2310
339,4310
340,2303
341,4303
342,2291
343,4291
344,2295
345,4295
346,2282
347,4282
348,2264
349,4264
350,2256
351,4256
352,2242
353,4242
354,2227
355,4227
356,2236
357,4236
358,2234
359,4234
360,2227
361,4227
362,2221
363,4221
364,2209
365,4209
366,2186
367,4186
368,2184
369,4184
370,2182
371,4182
372,2173
373,4173
374,2180
375,4180
376,2178
377,4178
378,2185
379,4185
380,2171
381,4171
382,2164
383,4164
384,2153
385,4153
386,2144
387,4144
388,2136
389,4136
390,2122
391,4122
392,2106
393,4106
394,2099
395,4099
396,2097
397,4097
398,2107
399,4107
400,2105
401,4105
402,2104
403,4104
404,2105
405,4105
406,2101
407,4101
408,2096
409,4096
410,2088
411,4088
412,2074
413,4074
414,2075
415,4075
416,2064
417,4064
418,2057
419,4057
420,2054
421,4054
422,2072
423,4072
424,2069
425,4069
426,2068
427,4068
428,2079
429,4079
430,2073
431,4073
432,2084
433,4084
434,2083
435,4083
436,2088
437,4088
438,2088
439,4088
440,2082
441,4082
442,2092
443,4092
444,2085
445,4085
446,2084
447,4084
448,2085
449,4085
450,2065
451,4065
452,2057
453,4057
454,2045
455,4045
456,2033
457,4033
458,2036
459,4036
460,2040
461,4040
462,2026
463,4026
464,2023
465,4023
466,2022
467,4022
468,2025
469,4025
470,2026
471,4026
472,2017
473,4017
474,2010
475,4010
476,2025
477,4025
478,2015
479,4015
480,2020
481,4020
482,2008
483,4008
484,2001
485,4001
486,1997
487,3997
488,1984
489,3984
490,1995
491,3995
492,1997
493,3997
494,1995
495,3995
496,2000
497,4000
498,1995
499,3995
500,1978
501,3978
502,1971
503,3971
504,1975
505,3975
506,1978
507,3978
508,1975
509,3975
510,1976
511,3976
512,1965
513,3965
514,1958
515,3958
516,1951
517,3951
518,1958
519,3958
520,1952
521,3952
522,1959
523,3959
524,1962
525,3962
526,1953
527,3953
528,1952
529,3952
530,1948
531,3948
532,1950
533,3950
534,1941
535,3941
536,1938
537,3938
538,1926
539,3926
540,1933
541,3933
542,1929
543,3929
544,1917
545,3917
546,1912
547,3912
548,1915
549,3915
550,1920
551,3920
552,1920
553,3920
554,1925
555,3925
556,1915
557,3915
558,1911
559,3911
560,1904
561,3904
562,1887
563,3887
564,1893
565,3893
566,1890
567,3890
568,1888
569,3888
570,1887
571,3887
572,1893
573,3893
574,1888
575,3888
576,1888
577,3888
578,1902
579,3902
580,1899
581,3899
582,1891
583,3891
584,1881
585,3881
586,1866
587,3866
588,1857
589,3857
590,1858
591,3858
592,1849
593,3849
594,1850
595,3850
596,1852
597,3852
598,1864
599,3864
600,1866
601,3866
602,1855
603,3855
604,1844
605,3844
606,1850
607,3850
608,1838
609,3838
610,1840
611,3840
612,1829
613,3829
614,1824
615,3824
616,1826
617,3826
618,1819
619,3819
620,1806
621,3806
622,1805
623,3805
624,1796
625,3796
626,1786
627,3786
628,1789
629,3789
630,1790
631,3790
632,1803
633,3803
634,1800
635,3800
636,1793
637,3793
638,1795
639,3795
640,1792
641,3792
642,1792
643,3792
644,1796
645,3796
646,1793
647,3793
648,1795
649,3795
650,1788
651,3788
652,1797
653,3797
654,1796
655,3796
656,1796
657,3796
658,1794
659,3794
660,1779
661,3779
662,1762
663,3762
664,1760
665,3760
666,1763
667,3763
668,1763
669,3763
670,1765
671,3765
672,1751
673,3751
674,1745
675,3745
676,1743
677,3743
678,1732
679,3732
680,1738
681,3738
682,1725
683,3725
684,1719
685,3719
686,1712
687,3712
688,1721
689,3721
690,1725
691,3725
692,1726
693,3726
694,1719
695,3719
696,1714
697,3714
698,1705
699,3705
700,1700
701,3700
702,1695
703,3695
704,1702
705,3702
706,1712
707,3712
708,1709
709,3709
710,1698
711,3698
